Organism,In the presence of,MSI,Organism_abundance
Enterobacter asburiae,Enterobacter cancerogenus,0,3.169178611
Enterobacter asburiae,Enterobacter cloacae,0,3.169178611
Enterobacter asburiae,Enterobacter roggenkampii,0,3.169178611
Enterobacter asburiae,Enterobacter hormaechei,0,3.169178611
Enterobacter asburiae,Enterobacter sp. NFIX59,0,3.169178611
Enterobacter asburiae,Escherichia coli,0,3.169178611
Enterobacter asburiae,Klebsiella oxytoca,0,3.169178611
Enterobacter asburiae,Klebsiella pneumoniae,0,3.169178611
Enterobacter asburiae,Klebsiella quasipneumoniae IF2SW-B3,0,3.169178611
Enterobacter asburiae,Klebsiella quasipneumoniae IF2SW-P1,0,3.169178611
Enterobacter asburiae,Pantoea ananatis,0,3.169178611
Enterobacter asburiae,Penicillium rubens,0.003109453,3.169178611
Enterobacter asburiae,Rhodotorula sp. JG-1b,0,3.169178611
Enterobacter asburiae,Salmonella enterica,0,3.169178611
Enterobacter asburiae,Shigella sonnei,0,3.169178611
Enterobacter cancerogenus,Enterobacter asburiae,0.013414634,1.679941756
Enterobacter cancerogenus,Enterobacter cloacae,0,1.679941756
Enterobacter cancerogenus,Enterobacter roggenkampii,0.013414634,1.679941756
Enterobacter cancerogenus,Enterobacter hormaechei,0,1.679941756
Enterobacter cancerogenus,Enterobacter sp. NFIX59,0.013414634,1.679941756
Enterobacter cancerogenus,Escherichia coli,0.013414634,1.679941756
Enterobacter cancerogenus,Klebsiella oxytoca,0.013414634,1.679941756
Enterobacter cancerogenus,Klebsiella pneumoniae,0.013414634,1.679941756
Enterobacter cancerogenus,Klebsiella quasipneumoniae IF2SW-B3,0,1.679941756
Enterobacter cancerogenus,Klebsiella quasipneumoniae IF2SW-P1,0,1.679941756
Enterobacter cancerogenus,Pantoea ananatis,0.002439024,1.679941756
Enterobacter cancerogenus,Penicillium rubens,0.00304878,1.679941756
Enterobacter cancerogenus,Rhodotorula sp. JG-1b,0,1.679941756
Enterobacter cancerogenus,Salmonella enterica,0.01097561,1.679941756
Enterobacter cancerogenus,Shigella sonnei,0.013414634,1.679941756
Enterobacter cloacae,Enterobacter asburiae,0.012468828,40.45633347
Enterobacter cloacae,Enterobacter cancerogenus,0.012468828,40.45633347
Enterobacter cloacae,Enterobacter roggenkampii,0.012468828,40.45633347
Enterobacter cloacae,Enterobacter hormaechei,0,40.45633347
Enterobacter cloacae,Enterobacter sp. NFIX59,0.012468828,40.45633347
Enterobacter cloacae,Escherichia coli,0.012468828,40.45633347
Enterobacter cloacae,Klebsiella oxytoca,0.012468828,40.45633347
Enterobacter cloacae,Klebsiella pneumoniae,0.012468828,40.45633347
Enterobacter cloacae,Klebsiella quasipneumoniae IF2SW-B3,0,40.45633347
Enterobacter cloacae,Klebsiella quasipneumoniae IF2SW-P1,0,40.45633347
Enterobacter cloacae,Pantoea ananatis,0,40.45633347
Enterobacter cloacae,Penicillium rubens,0,40.45633347
Enterobacter cloacae,Rhodotorula sp. JG-1b,0,40.45633347
Enterobacter cloacae,Salmonella enterica,0.012468828,40.45633347
Enterobacter cloacae,Shigella sonnei,0.012468828,40.45633347
Enterobacter hormaechei,Enterobacter asburiae,0.004683841,2.676388451
Enterobacter hormaechei,Enterobacter cancerogenus,0.004683841,2.676388451
Enterobacter hormaechei,Enterobacter cloacae,0,2.676388451
Enterobacter hormaechei,Enterobacter roggenkampii,0.004683841,2.676388451
Enterobacter hormaechei,Enterobacter sp. NFIX59,0.004683841,2.676388451
Enterobacter hormaechei,Escherichia coli,0.004683841,2.676388451
Enterobacter hormaechei,Klebsiella oxytoca,0.004683841,2.676388451
Enterobacter hormaechei,Klebsiella pneumoniae,0.004683841,2.676388451
Enterobacter hormaechei,Klebsiella quasipneumoniae IF2SW-B3,0,2.676388451
