Organism,In the presence of,MSI,Organism_abundance
Enterobacter cloacae,Escherichia coli,0.012468828,1.422176665
Enterobacter cloacae,Klebsiella pneumoniae,0.012468828,1.422176665
Enterobacter cloacae,Pantoea agglomerans,0,1.422176665
Enterobacter cloacae,Pantoea ananatis,0,1.422176665
Enterobacter cloacae,Pantoea conspicua,0,1.422176665
Enterobacter cloacae,Pantoea sp. A4,0,1.422176665
Enterobacter cloacae,Pantoea sp. At-9b,0,1.422176665
Enterobacter cloacae,Pantoea sp. IMH,0,1.422176665
Enterobacter cloacae,Pantoea sp. NGS-ED-1003,0,1.422176665
Enterobacter cloacae,Pantoea sp. OXWO6B1,0,1.422176665
Enterobacter cloacae,Pantoea sp. PSNIH2,0,1.422176665
Enterobacter cloacae,Pantoea vagans,0,1.422176665
Enterobacter cloacae,Salmonella enterica,0.012468828,1.422176665
Escherichia coli,Enterobacter cloacae,0,4.084244969
Escherichia coli,Klebsiella pneumoniae,0,4.084244969
Escherichia coli,Pantoea agglomerans,0,4.084244969
Escherichia coli,Pantoea ananatis,0,4.084244969
Escherichia coli,Pantoea conspicua,0,4.084244969
Escherichia coli,Pantoea sp. A4,0,4.084244969
Escherichia coli,Pantoea sp. At-9b,0,4.084244969
Escherichia coli,Pantoea sp. IMH,0,4.084244969
Escherichia coli,Pantoea sp. NGS-ED-1003,0,4.084244969
Escherichia coli,Pantoea sp. OXWO6B1,0,4.084244969
Escherichia coli,Pantoea sp. PSNIH2,0,4.084244969
Escherichia coli,Pantoea vagans,0,4.084244969
Escherichia coli,Salmonella enterica,0,4.084244969
Klebsiella pneumoniae,Enterobacter cloacae,0,7.269183479
Klebsiella pneumoniae,Escherichia coli,0.007096393,7.269183479
Klebsiella pneumoniae,Pantoea agglomerans,0,7.269183479
Klebsiella pneumoniae,Pantoea ananatis,0,7.269183479
Klebsiella pneumoniae,Pantoea conspicua,0,7.269183479
Klebsiella pneumoniae,Pantoea sp. A4,0,7.269183479
Klebsiella pneumoniae,Pantoea sp. At-9b,0,7.269183479
Klebsiella pneumoniae,Pantoea sp. IMH,0,7.269183479
Klebsiella pneumoniae,Pantoea sp. NGS-ED-1003,0,7.269183479
Klebsiella pneumoniae,Pantoea sp. OXWO6B1,0,7.269183479
Klebsiella pneumoniae,Pantoea sp. PSNIH2,0,7.269183479
Klebsiella pneumoniae,Pantoea vagans,0,7.269183479
Klebsiella pneumoniae,Salmonella enterica,0,7.269183479
Pantoea agglomerans,Enterobacter cloacae,0,2.393942684
Pantoea agglomerans,Escherichia coli,0.072480849,2.393942684
Pantoea agglomerans,Klebsiella pneumoniae,0.070123748,2.393942684
Pantoea agglomerans,Pantoea ananatis,0,2.393942684
Pantoea agglomerans,Pantoea conspicua,0,2.393942684
Pantoea agglomerans,Pantoea sp. A4,0,2.393942684
Pantoea agglomerans,Pantoea sp. At-9b,0,2.393942684
Pantoea agglomerans,Pantoea sp. IMH,0,2.393942684
Pantoea agglomerans,Pantoea sp. NGS-ED-1003,0,2.393942684
Pantoea agglomerans,Pantoea sp. OXWO6B1,0.012374779,2.393942684
Pantoea agglomerans,Pantoea sp. PSNIH2,0,2.393942684
Pantoea agglomerans,Pantoea vagans,0,2.393942684
Pantoea agglomerans,Salmonella enterica,0.066588097,2.393942684
Pantoea ananatis,Enterobacter cloacae,0,9.851722997
Pantoea ananatis,Escherichia coli,0.036540804,9.851722997
Pantoea ananatis,Klebsiella pneumoniae,0.036540804,9.851722997
Pantoea ananatis,Pantoea agglomerans,0,9.851722997
Pantoea ananatis,Pantoea conspicua,0,9.851722997
Pantoea ananatis,Pantoea sp. A4,0,9.851722997
Pantoea ananatis,Pantoea sp. At-9b,0,9.851722997
Pantoea ananatis,Pantoea sp. IMH,0,9.851722997
Pantoea ananatis,Pantoea sp. NGS-ED-1003,0,9.851722997
Pantoea ananatis,Pantoea sp. OXWO6B1,0.025578563,9.851722997
Pantoea ananatis,Pantoea sp. PSNIH2,0,9.851722997
Pantoea ananatis,Pantoea vagans,0,9.851722997
Pantoea ananatis,Salmonella enterica,0.036540804,9.851722997
Pantoea conspicua,Enterobacter cloacae,0,1.542605969
Pantoea conspicua,Escherichia coli,0.081185567,1.542605969
Pantoea conspicua,Klebsiella pneumoniae,0.081185567,1.542605969
Pantoea conspicua,Pantoea agglomerans,0,1.542605969
Pantoea conspicua,Pantoea ananatis,0,1.542605969
Pantoea conspicua,Pantoea sp. A4,0,1.542605969
Pantoea conspicua,Pantoea sp. At-9b,0,1.542605969
Pantoea conspicua,Pantoea sp. IMH,0,1.542605969
Pantoea conspicua,Pantoea sp. NGS-ED-1003,0,1.542605969
Pantoea conspicua,Pantoea sp. OXWO6B1,0.013530928,1.542605969
Pantoea conspicua,Pantoea sp. PSNIH2,0,1.542605969
Pantoea conspicua,Pantoea vagans,0,1.542605969
Pantoea conspicua,Salmonella enterica,0.077319588,1.542605969
Pantoea sp. A4,Enterobacter cloacae,0,2.497961286
Pantoea sp. A4,Escherichia coli,0.004694836,2.497961286
Pantoea sp. A4,Klebsiella pneumoniae,0.004694836,2.497961286
Pantoea sp. A4,Pantoea agglomerans,0.002347418,2.497961286
Pantoea sp. A4,Pantoea ananatis,0.002347418,2.497961286
Pantoea sp. A4,Pantoea conspicua,0.002347418,2.497961286
Pantoea sp. A4,Pantoea sp. At-9b,0.002347418,2.497961286
Pantoea sp. A4,Pantoea sp. IMH,0.002347418,2.497961286
Pantoea sp. A4,Pantoea sp. NGS-ED-1003,0.002347418,2.497961286
Pantoea sp. A4,Pantoea sp. OXWO6B1,0.009389671,2.497961286
Pantoea sp. A4,Pantoea sp. PSNIH2,0.002347418,2.497961286
Pantoea sp. A4,Pantoea vagans,0.002347418,2.497961286
Pantoea sp. A4,Salmonella enterica,0.004694836,2.497961286
Pantoea sp. At-9b,Enterobacter cloacae,0,1.133600786
Pantoea sp. At-9b,Escherichia coli,0.044289044,1.133600786
Pantoea sp. At-9b,Klebsiella pneumoniae,0.044289044,1.133600786
Pantoea sp. At-9b,Pantoea agglomerans,0,1.133600786
