Organism,In the presence of,MSI,Abundance
Escherichia coli,Klebsiella pneumoniae,0.0,1.401233596
Escherichia coli,Paenibacillus polymyxa IIF5SW-B3,0.0012391573729864103,1.401233596
Escherichia coli,Pantoea agglomerans FJII-L5-SW-P2,0.0,1.401233596
Escherichia coli,Pantoea ananatis,0.0,1.401233596
Escherichia coli,Pantoea conspicua,0.0,1.401233596
Escherichia coli,Pantoea sp. 3.5.1,0.0,1.401233596
Escherichia coli,Pantoea vagans,0.0,1.401233596
Klebsiella pneumoniae,Escherichia coli,0.007096392667060858,0.892333042
Klebsiella pneumoniae,Paenibacillus polymyxa IIF5SW-B3,0.0011827321111768097,0.892333042
Klebsiella pneumoniae,Pantoea agglomerans FJII-L5-SW-P2,0.0,0.892333042
Klebsiella pneumoniae,Pantoea ananatis,0.0,0.892333042
Klebsiella pneumoniae,Pantoea conspicua,0.0,0.892333042
Klebsiella pneumoniae,Pantoea sp. 3.5.1,0.0,0.892333042
Klebsiella pneumoniae,Pantoea vagans,0.0,0.892333042
Paenibacillus polymyxa IIF5SW-B3,Escherichia coli,0.005218525766470972,2.101329779
Paenibacillus polymyxa IIF5SW-B3,Klebsiella pneumoniae,0.005218525766470972,2.101329779
Paenibacillus polymyxa IIF5SW-B3,Pantoea agglomerans FJII-L5-SW-P2,0.0,2.101329779
Paenibacillus polymyxa IIF5SW-B3,Pantoea ananatis,0.0,2.101329779
Paenibacillus polymyxa IIF5SW-B3,Pantoea conspicua,0.0,2.101329779
Paenibacillus polymyxa IIF5SW-B3,Pantoea sp. 3.5.1,0.0,2.101329779
Paenibacillus polymyxa IIF5SW-B3,Pantoea vagans,0.0,2.101329779
Pantoea agglomerans FJII-L5-SW-P2,Escherichia coli,0.07568533969010727,3.906690285
Pantoea agglomerans FJII-L5-SW-P2,Klebsiella pneumoniae,0.0733015494636472,3.906690285
Pantoea agglomerans FJII-L5-SW-P2,Paenibacillus polymyxa IIF5SW-B3,0.05363528009535157,3.906690285
Pantoea agglomerans FJII-L5-SW-P2,Pantoea ananatis,0.0011918951132300348,3.906690285
Pantoea agglomerans FJII-L5-SW-P2,Pantoea conspicua,0.0011918951132300348,3.906690285
Pantoea agglomerans FJII-L5-SW-P2,Pantoea sp. 3.5.1,0.0011918951132300348,3.906690285
Pantoea agglomerans FJII-L5-SW-P2,Pantoea vagans,0.0011918951132300348,3.906690285
Pantoea ananatis,Escherichia coli,0.03654080389768577,5.12792146
Pantoea ananatis,Klebsiella pneumoniae,0.03654080389768577,5.12792146
Pantoea ananatis,Paenibacillus polymyxa IIF5SW-B3,0.013398294762484775,5.12792146
Pantoea ananatis,Pantoea agglomerans FJII-L5-SW-P2,0.0,5.12792146
Pantoea ananatis,Pantoea conspicua,0.0,5.12792146
Pantoea ananatis,Pantoea sp. 3.5.1,0.0,5.12792146
Pantoea ananatis,Pantoea vagans,0.0,5.12792146
Pantoea conspicua,Escherichia coli,0.08043758043758042,73.94936765
Pantoea conspicua,Klebsiella pneumoniae,0.08043758043758042,73.94936765
Pantoea conspicua,Paenibacillus polymyxa IIF5SW-B3,0.0,73.94936765
Pantoea conspicua,Pantoea agglomerans FJII-L5-SW-P2,0.0,73.94936765
Pantoea conspicua,Pantoea ananatis,0.0,73.94936765
Pantoea conspicua,Pantoea sp. 3.5.1,0.0,73.94936765
Pantoea conspicua,Pantoea vagans,0.0,73.94936765
Pantoea sp. 3.5.1,Escherichia coli,0.07304347826086954,6.665425869
Pantoea sp. 3.5.1,Klebsiella pneumoniae,0.07072463768115944,6.665425869
Pantoea sp. 3.5.1,Paenibacillus polymyxa IIF5SW-B3,0.05275362318840582,6.665425869
Pantoea sp. 3.5.1,Pantoea agglomerans FJII-L5-SW-P2,0.0,6.665425869
Pantoea sp. 3.5.1,Pantoea ananatis,0.0,6.665425869
Pantoea sp. 3.5.1,Pantoea conspicua,0.0,6.665425869
Pantoea sp. 3.5.1,Pantoea vagans,0.0,6.665425869
Pantoea vagans,Escherichia coli,0.07232516437537362,1.147824548
Pantoea vagans,Klebsiella pneumoniae,0.06993424985056784,1.147824548
Pantoea vagans,Paenibacillus polymyxa IIF5SW-B3,0.05140466228332341,1.147824548
Pantoea vagans,Pantoea agglomerans FJII-L5-SW-P2,0.0,1.147824548
Pantoea vagans,Pantoea ananatis,0.0,1.147824548
Pantoea vagans,Pantoea conspicua,0.0,1.147824548
Pantoea vagans,Pantoea sp. 3.5.1,0.0,1.147824548
