Organism,In the presence of,MSI,Abundance
Enterobacter cloacae,Escherichia coli,0.0,1.445165606
Enterobacter cloacae,Klebsiella pneumoniae,0.0,1.445165606
Enterobacter cloacae,Pantoea agglomerans,0.0,1.445165606
Enterobacter cloacae,Pantoea ananatis,0.0,1.445165606
Enterobacter cloacae,Pantoea conspicua,0.0,1.445165606
Enterobacter cloacae,Pantoea sp. A4,0.0,1.445165606
Enterobacter cloacae,Pantoea sp. At-9b,0.0,1.445165606
Enterobacter cloacae,Pantoea sp. IMH,0.0,1.445165606
Enterobacter cloacae,Pantoea sp. NGS-ED-1003,0.0,1.445165606
Enterobacter cloacae,Pantoea sp. OXWO6B1,0.0012247397428046813,1.445165606
Enterobacter cloacae,Pantoea sp. PSNIH2,0.0,1.445165606
Enterobacter cloacae,Pantoea vagans,0.0,1.445165606
Enterobacter cloacae,Salmonella enterica,0.0,1.445165606
Escherichia coli,Enterobacter cloacae,0.0,4.403623244
Escherichia coli,Klebsiella pneumoniae,0.0,4.403623244
Escherichia coli,Pantoea agglomerans,0.0,4.403623244
Escherichia coli,Pantoea ananatis,0.0,4.403623244
Escherichia coli,Pantoea conspicua,0.0,4.403623244
Escherichia coli,Pantoea sp. A4,0.0,4.403623244
Escherichia coli,Pantoea sp. At-9b,0.0,4.403623244
Escherichia coli,Pantoea sp. IMH,0.0,4.403623244
Escherichia coli,Pantoea sp. NGS-ED-1003,0.0,4.403623244
Escherichia coli,Pantoea sp. OXWO6B1,0.0012391573729864103,4.403623244
Escherichia coli,Pantoea sp. PSNIH2,0.0,4.403623244
Escherichia coli,Pantoea vagans,0.0,4.403623244
Escherichia coli,Salmonella enterica,0.0,4.403623244
Klebsiella pneumoniae,Enterobacter cloacae,0.0,5.871415677
Klebsiella pneumoniae,Escherichia coli,0.007096392667060858,5.871415677
Klebsiella pneumoniae,Pantoea agglomerans,0.0,5.871415677
Klebsiella pneumoniae,Pantoea ananatis,0.0,5.871415677
Klebsiella pneumoniae,Pantoea conspicua,0.0,5.871415677
Klebsiella pneumoniae,Pantoea sp. A4,0.0,5.871415677
Klebsiella pneumoniae,Pantoea sp. At-9b,0.0,5.871415677
Klebsiella pneumoniae,Pantoea sp. IMH,0.0,5.871415677
Klebsiella pneumoniae,Pantoea sp. NGS-ED-1003,0.0,5.871415677
Klebsiella pneumoniae,Pantoea sp. OXWO6B1,0.0011827321111768097,5.871415677
Klebsiella pneumoniae,Pantoea sp. PSNIH2,0.0,5.871415677
Klebsiella pneumoniae,Pantoea vagans,0.0,5.871415677
Klebsiella pneumoniae,Salmonella enterica,0.0,5.871415677
Pantoea agglomerans,Enterobacter cloacae,0.07012374779021802,2.574293465
Pantoea agglomerans,Escherichia coli,0.07248084855627579,2.574293465
Pantoea agglomerans,Klebsiella pneumoniae,0.07012374779021802,2.574293465
Pantoea agglomerans,Pantoea ananatis,0.0,2.574293465
Pantoea agglomerans,Pantoea conspicua,0.0,2.574293465
Pantoea agglomerans,Pantoea sp. A4,0.0,2.574293465
Pantoea agglomerans,Pantoea sp. At-9b,0.0,2.574293465
Pantoea agglomerans,Pantoea sp. IMH,0.0,2.574293465
Pantoea agglomerans,Pantoea sp. NGS-ED-1003,0.0,2.574293465
Pantoea agglomerans,Pantoea sp. OXWO6B1,0.0,2.574293465
Pantoea agglomerans,Pantoea sp. PSNIH2,0.0,2.574293465
Pantoea agglomerans,Pantoea vagans,0.0,2.574293465
Pantoea agglomerans,Salmonella enterica,0.06658809664113141,2.574293465
Pantoea ananatis,Enterobacter cloacae,0.03654080389768577,10.1496076
Pantoea ananatis,Escherichia coli,0.03654080389768577,10.1496076
Pantoea ananatis,Klebsiella pneumoniae,0.03654080389768577,10.1496076
Pantoea ananatis,Pantoea agglomerans,0.0,10.1496076
Pantoea ananatis,Pantoea conspicua,0.0,10.1496076
Pantoea ananatis,Pantoea sp. A4,0.0,10.1496076
Pantoea ananatis,Pantoea sp. At-9b,0.0,10.1496076
Pantoea ananatis,Pantoea sp. IMH,0.0,10.1496076
Pantoea ananatis,Pantoea sp. NGS-ED-1003,0.0,10.1496076
Pantoea ananatis,Pantoea sp. OXWO6B1,0.0,10.1496076
Pantoea ananatis,Pantoea sp. PSNIH2,0.0,10.1496076
Pantoea ananatis,Pantoea vagans,0.0,10.1496076
Pantoea ananatis,Salmonella enterica,0.03654080389768577,10.1496076
Pantoea conspicua,Enterobacter cloacae,0.08043758043758042,1.609456046
Pantoea conspicua,Escherichia coli,0.08043758043758042,1.609456046
Pantoea conspicua,Klebsiella pneumoniae,0.08043758043758042,1.609456046
Pantoea conspicua,Pantoea agglomerans,0.0,1.609456046
Pantoea conspicua,Pantoea ananatis,0.0,1.609456046
Pantoea conspicua,Pantoea sp. A4,0.0,1.609456046
Pantoea conspicua,Pantoea sp. At-9b,0.0,1.609456046
Pantoea conspicua,Pantoea sp. IMH,0.0,1.609456046
Pantoea conspicua,Pantoea sp. NGS-ED-1003,0.0,1.609456046
Pantoea conspicua,Pantoea sp. OXWO6B1,0.0,1.609456046
Pantoea conspicua,Pantoea sp. PSNIH2,0.0,1.609456046
Pantoea conspicua,Pantoea vagans,0.0,1.609456046
Pantoea conspicua,Salmonella enterica,0.07657657657657657,1.609456046
Pantoea sp. A4,Enterobacter cloacae,0.04120719674985496,2.455010735
Pantoea sp. A4,Escherichia coli,0.04701102727800344,2.455010735
Pantoea sp. A4,Klebsiella pneumoniae,0.04120719674985496,2.455010735
Pantoea sp. A4,Pantoea agglomerans,0.0,2.455010735
Pantoea sp. A4,Pantoea ananatis,0.0,2.455010735
Pantoea sp. A4,Pantoea conspicua,0.0,2.455010735
Pantoea sp. A4,Pantoea sp. At-9b,0.0,2.455010735
Pantoea sp. A4,Pantoea sp. IMH,0.0,2.455010735
Pantoea sp. A4,Pantoea sp. NGS-ED-1003,0.0,2.455010735
Pantoea sp. A4,Pantoea sp. OXWO6B1,0.0,2.455010735
