Organism,In the presence of,MSI,Abundance
Enterococcus faecalis,Enterococcus avium,0.0016,11.83686988
Klebsiella pneumoniae F3-2P(2*),Enterococcus avium,0.006031363,0.000348628
Paenibacillus polymyxa,Enterococcus avium,0,6.111348372
Penicillium chrysogenum,Enterococcus avium,0,2.706087223
Penicillium flavigenum,Enterococcus avium,0,1.360382236
Penicillium nalgiovense,Enterococcus avium,0,2.006425218
Penicillium rubens,Enterococcus avium,0,13.74337824
Rhodotorula sp. JG-1b,Enterococcus avium,0,5.305633658
Staphylococcus aureus,Enterococcus avium,0.001453488,2.295716928
Staphylococcus epidermidis,Enterococcus avium,0,1.078725485
Staphylococcus haemolyticus,Enterococcus avium,0,2.260296299
Staphylococcus saprophyticus,Enterococcus avium,0.001458789,30.89710761
Staphylococcus sp. LCT-H4,Enterococcus avium,0.001402525,1.260395658
Staphylococcus warneri,Enterococcus avium,0,1.967657759
Enterococcus avium,Enterococcus faecalis,0,3.908401418
Klebsiella pneumoniae F3-2P(2*),Enterococcus faecalis,0,0.000348628
Paenibacillus polymyxa,Enterococcus faecalis,0,6.111348372
Penicillium chrysogenum,Enterococcus faecalis,0,2.706087223
Penicillium flavigenum,Enterococcus faecalis,0,1.360382236
Penicillium nalgiovense,Enterococcus faecalis,0,2.006425218
Penicillium rubens,Enterococcus faecalis,0,13.74337824
Rhodotorula sp. JG-1b,Enterococcus faecalis,0,5.305633658
Staphylococcus aureus,Enterococcus faecalis,0,2.295716928
Staphylococcus epidermidis,Enterococcus faecalis,0,1.078725485
Staphylococcus haemolyticus,Enterococcus faecalis,0,2.260296299
Staphylococcus saprophyticus,Enterococcus faecalis,0,30.89710761
Staphylococcus sp. LCT-H4,Enterococcus faecalis,0,1.260395658
Staphylococcus warneri,Enterococcus faecalis,0,1.967657759
Enterococcus avium,Klebsiella pneumoniae F3-2P(2*),0.00658376,3.908401418
Enterococcus faecalis,Klebsiella pneumoniae F3-2P(2*),0.0016,11.83686988
Paenibacillus polymyxa,Klebsiella pneumoniae F3-2P(2*),0.00537996,6.111348372
Penicillium chrysogenum,Klebsiella pneumoniae F3-2P(2*),0.006016043,2.706087223
Penicillium flavigenum,Klebsiella pneumoniae F3-2P(2*),0.006333568,1.360382236
Penicillium nalgiovense,Klebsiella pneumoniae F3-2P(2*),0.006093433,2.006425218
Penicillium rubens,Klebsiella pneumoniae F3-2P(2*),0.005988024,13.74337824
Rhodotorula sp. JG-1b,Klebsiella pneumoniae F3-2P(2*),0,5.305633658
Staphylococcus aureus,Klebsiella pneumoniae F3-2P(2*),0.05377907,2.295716928
Staphylococcus epidermidis,Klebsiella pneumoniae F3-2P(2*),0.066165414,1.078725485
Staphylococcus haemolyticus,Klebsiella pneumoniae F3-2P(2*),0.069381599,2.260296299
Staphylococcus saprophyticus,Klebsiella pneumoniae F3-2P(2*),0.067104303,30.89710761
Staphylococcus sp. LCT-H4,Klebsiella pneumoniae F3-2P(2*),0.056100982,1.260395658
Staphylococcus warneri,Klebsiella pneumoniae F3-2P(2*),0.070836473,1.967657759
Enterococcus avium,Paenibacillus polymyxa,0,3.908401418
Enterococcus faecalis,Paenibacillus polymyxa,0,11.83686988
Klebsiella pneumoniae F3-2P(2*),Paenibacillus polymyxa,0.001206273,0.000348628
Penicillium chrysogenum,Paenibacillus polymyxa,0.00802139,2.706087223
Penicillium flavigenum,Paenibacillus polymyxa,0.008444757,1.360382236
Penicillium nalgiovense,Paenibacillus polymyxa,0.008124577,2.006425218
Penicillium rubens,Paenibacillus polymyxa,0.007984032,13.74337824
Rhodotorula sp. JG-1b,Paenibacillus polymyxa,0.000996016,5.305633658
Staphylococcus aureus,Paenibacillus polymyxa,0,2.295716928
Staphylococcus epidermidis,Paenibacillus polymyxa,0,1.078725485
Staphylococcus haemolyticus,Paenibacillus polymyxa,0,2.260296299
Staphylococcus saprophyticus,Paenibacillus polymyxa,0,30.89710761
Staphylococcus sp. LCT-H4,Paenibacillus polymyxa,0,1.260395658
Staphylococcus warneri,Paenibacillus polymyxa,0,1.967657759
Enterococcus avium,Penicillium chrysogenum,0,3.908401418
Enterococcus faecalis,Penicillium chrysogenum,0,11.83686988
Klebsiella pneumoniae F3-2P(2*),Penicillium chrysogenum,0.009047045,0.000348628
Paenibacillus polymyxa,Penicillium chrysogenum,0.00537996,6.111348372
Penicillium flavigenum,Penicillium chrysogenum,0,1.360382236
Penicillium nalgiovense,Penicillium chrysogenum,0,2.006425218
Penicillium rubens,Penicillium chrysogenum,0,13.74337824
Rhodotorula sp. JG-1b,Penicillium chrysogenum,0,5.305633658
Staphylococcus aureus,Penicillium chrysogenum,0.001453488,2.295716928
Staphylococcus epidermidis,Penicillium chrysogenum,0.001503759,1.078725485
Staphylococcus haemolyticus,Penicillium chrysogenum,0.001508296,2.260296299
Staphylococcus saprophyticus,Penicillium chrysogenum,0.001458789,30.89710761
Staphylococcus sp. LCT-H4,Penicillium chrysogenum,0.001402525,1.260395658
Staphylococcus warneri,Penicillium chrysogenum,0.001507159,1.967657759
Enterococcus avium,Penicillium flavigenum,0,3.908401418
Enterococcus faecalis,Penicillium flavigenum,0,11.83686988
Klebsiella pneumoniae F3-2P(2*),Penicillium flavigenum,0.009047045,0.000348628
Paenibacillus polymyxa,Penicillium flavigenum,0.00537996,6.111348372
Penicillium chrysogenum,Penicillium flavigenum,0,2.706087223
Penicillium nalgiovense,Penicillium flavigenum,0,2.006425218
Penicillium rubens,Penicillium flavigenum,0,13.74337824
Rhodotorula sp. JG-1b,Penicillium flavigenum,0,5.305633658
Staphylococcus aureus,Penicillium flavigenum,0.001453488,2.295716928
Staphylococcus epidermidis,Penicillium flavigenum,0.001503759,1.078725485
Staphylococcus haemolyticus,Penicillium flavigenum,0.001508296,2.260296299
Staphylococcus saprophyticus,Penicillium flavigenum,0.001458789,30.89710761
Staphylococcus sp. LCT-H4,Penicillium flavigenum,0.001402525,1.260395658
Staphylococcus warneri,Penicillium flavigenum,0.001507159,1.967657759
Enterococcus avium,Penicillium nalgiovense,0,3.908401418
Enterococcus faecalis,Penicillium nalgiovense,0,11.83686988
Klebsiella pneumoniae F3-2P(2*),Penicillium nalgiovense,0.009047045,0.000348628
Paenibacillus polymyxa,Penicillium nalgiovense,0.00537996,6.111348372
Penicillium chrysogenum,Penicillium nalgiovense,0,2.706087223
Penicillium flavigenum,Penicillium nalgiovense,0,1.360382236
Penicillium rubens,Penicillium nalgiovense,0,13.74337824
Rhodotorula sp. JG-1b,Penicillium nalgiovense,0,5.305633658
Staphylococcus aureus,Penicillium nalgiovense,0.001453488,2.295716928
Staphylococcus epidermidis,Penicillium nalgiovense,0.001503759,1.078725485
Staphylococcus haemolyticus,Penicillium nalgiovense,0.001508296,2.260296299
Staphylococcus saprophyticus,Penicillium nalgiovense,0.001458789,30.89710761
Staphylococcus sp. LCT-H4,Penicillium nalgiovense,0.001402525,1.260395658
Staphylococcus warneri,Penicillium nalgiovense,0.001507159,1.967657759
Enterococcus avium,Penicillium rubens,0,3.908401418
Enterococcus faecalis,Penicillium rubens,0,11.83686988
Klebsiella pneumoniae F3-2P(2*),Penicillium rubens,0.009047045,0.000348628
Paenibacillus polymyxa,Penicillium rubens,0.00537996,6.111348372
Penicillium chrysogenum,Penicillium rubens,0,2.706087223
Penicillium flavigenum,Penicillium rubens,0,1.360382236
Penicillium nalgiovense,Penicillium rubens,0,2.006425218
Rhodotorula sp. JG-1b,Penicillium rubens,0,5.305633658
Staphylococcus aureus,Penicillium rubens,0.001453488,2.295716928
Staphylococcus epidermidis,Penicillium rubens,0.001503759,1.078725485
Staphylococcus haemolyticus,Penicillium rubens,0.001508296,2.260296299
Staphylococcus saprophyticus,Penicillium rubens,0.001458789,30.89710761
Staphylococcus sp. LCT-H4,Penicillium rubens,0.001402525,1.260395658
Staphylococcus warneri,Penicillium rubens,0.001507159,1.967657759
Enterococcus avium,Rhodotorula sp. JG-1b,0,3.908401418
Enterococcus faecalis,Rhodotorula sp. JG-1b,0,11.83686988
Klebsiella pneumoniae F3-2P(2*),Rhodotorula sp. JG-1b,0.006031363,0.000348628
Paenibacillus polymyxa,Rhodotorula sp. JG-1b,0.00268998,6.111348372
Penicillium chrysogenum,Rhodotorula sp. JG-1b,0,2.706087223
Penicillium flavigenum,Rhodotorula sp. JG-1b,0,1.360382236
Penicillium nalgiovense,Rhodotorula sp. JG-1b,0,2.006425218
Penicillium rubens,Rhodotorula sp. JG-1b,0,13.74337824
Staphylococcus aureus,Rhodotorula sp. JG-1b,0.002180233,2.295716928
Staphylococcus epidermidis,Rhodotorula sp. JG-1b,0.002255639,1.078725485
Staphylococcus haemolyticus,Rhodotorula sp. JG-1b,0,2.260296299
Staphylococcus saprophyticus,Rhodotorula sp. JG-1b,0,30.89710761
Staphylococcus sp. LCT-H4,Rhodotorula sp. JG-1b,0.002103787,1.260395658
Staphylococcus warneri,Rhodotorula sp. JG-1b,0,1.967657759
Enterococcus avium,Staphylococcus aureus,0,3.908401418
Enterococcus faecalis,Staphylococcus aureus,0,11.83686988
Klebsiella pneumoniae F3-2P(2*),Staphylococcus aureus,0,0.000348628
Paenibacillus polymyxa,Staphylococcus aureus,0,6.111348372
Penicillium chrysogenum,Staphylococcus aureus,0,2.706087223
Penicillium flavigenum,Staphylococcus aureus,0,1.360382236
Penicillium nalgiovense,Staphylococcus aureus,0,2.006425218
Penicillium rubens,Staphylococcus aureus,0,13.74337824
Rhodotorula sp. JG-1b,Staphylococcus aureus,0,5.305633658
Staphylococcus epidermidis,Staphylococcus aureus,0,1.078725485
Staphylococcus haemolyticus,Staphylococcus aureus,0,2.260296299
Staphylococcus saprophyticus,Staphylococcus aureus,0,30.89710761
Staphylococcus sp. LCT-H4,Staphylococcus aureus,0,1.260395658
Staphylococcus warneri,Staphylococcus aureus,0,1.967657759
Enterococcus avium,Staphylococcus epidermidis,0,3.908401418
Enterococcus faecalis,Staphylococcus epidermidis,0.0016,11.83686988
Klebsiella pneumoniae F3-2P(2*),Staphylococcus epidermidis,0.001206273,0.000348628
Paenibacillus polymyxa,Staphylococcus epidermidis,0,6.111348372
Penicillium chrysogenum,Staphylococcus epidermidis,0,2.706087223
Penicillium flavigenum,Staphylococcus epidermidis,0,1.360382236
Penicillium nalgiovense,Staphylococcus epidermidis,0,2.006425218
Penicillium rubens,Staphylococcus epidermidis,0,13.74337824
Rhodotorula sp. JG-1b,Staphylococcus epidermidis,0,5.305633658
Staphylococcus aureus,Staphylococcus epidermidis,0.001453488,2.295716928
Staphylococcus haemolyticus,Staphylococcus epidermidis,0,2.260296299
Staphylococcus saprophyticus,Staphylococcus epidermidis,0.001458789,30.89710761
Staphylococcus sp. LCT-H4,Staphylococcus epidermidis,0.001402525,1.260395658
Staphylococcus warneri,Staphylococcus epidermidis,0,1.967657759
Enterococcus avium,Staphylococcus haemolyticus,0,3.908401418
Enterococcus faecalis,Staphylococcus haemolyticus,0.0016,11.83686988
Klebsiella pneumoniae F3-2P(2*),Staphylococcus haemolyticus,0,0.000348628
Paenibacillus polymyxa,Staphylococcus haemolyticus,0,6.111348372
