Org A,Org B,Effect
Enterococcus avium,Enterococcus faecalis,-0.95
Enterococcus avium,Klebsiella pneumoniae F3-2P(2),0
Enterococcus avium,Paenibacillus polymyxa,0
Enterococcus avium,Penicillium chrysogenum,0
Enterococcus avium,Penicillium flavigenum,0
Enterococcus avium,Penicillium nalgiovense,0
Enterococcus avium,Penicillium rubens,0
Enterococcus avium,Rhodotorula sp. JG-1b,-0.951
Enterococcus avium,Staphylococcus aureus,0
Enterococcus avium,Staphylococcus epidermidis,0
Enterococcus avium,Staphylococcus haemolyticus,-1
Enterococcus avium,Staphylococcus saprophyticus,0
Enterococcus avium,Staphylococcus sp. LCT-H4,0
Enterococcus avium,Staphylococcus warneri,0
Enterococcus faecalis,Klebsiella pneumoniae F3-2P(2),0.422
Enterococcus faecalis,Paenibacillus polymyxa,-0.166
Enterococcus faecalis,Penicillium chrysogenum,0
Enterococcus faecalis,Penicillium flavigenum,0
Enterococcus faecalis,Penicillium nalgiovense,0
Enterococcus faecalis,Penicillium rubens,0
Enterococcus faecalis,Rhodotorula sp. JG-1b,-0.702
Enterococcus faecalis,Staphylococcus aureus,1.778
Enterococcus faecalis,Staphylococcus epidermidis,1.778
Enterococcus faecalis,Staphylococcus haemolyticus,1.778
Enterococcus faecalis,Staphylococcus saprophyticus,0.61
Enterococcus faecalis,Staphylococcus sp. LCT-H4,1.778
Enterococcus faecalis,Staphylococcus warneri,1.778
Klebsiella pneumoniae F3-2P(2),Paenibacillus polymyxa,0
Klebsiella pneumoniae F3-2P(2),Penicillium chrysogenum,0
Klebsiella pneumoniae F3-2P(2),Penicillium flavigenum,0
Klebsiella pneumoniae F3-2P(2),Penicillium nalgiovense,0
Klebsiella pneumoniae F3-2P(2),Penicillium rubens,0
Klebsiella pneumoniae F3-2P(2),Rhodotorula sp. JG-1b,-1
Klebsiella pneumoniae F3-2P(2),Staphylococcus aureus,0
Klebsiella pneumoniae F3-2P(2),Staphylococcus epidermidis,0
Klebsiella pneumoniae F3-2P(2),Staphylococcus haemolyticus,-1
Klebsiella pneumoniae F3-2P(2),Staphylococcus saprophyticus,0
Klebsiella pneumoniae F3-2P(2),Staphylococcus sp. LCT-H4,0
Klebsiella pneumoniae F3-2P(2),Staphylococcus warneri,0
Paenibacillus polymyxa,Penicillium chrysogenum,0
Paenibacillus polymyxa,Penicillium flavigenum,0
Paenibacillus polymyxa,Penicillium nalgiovense,0
Paenibacillus polymyxa,Penicillium rubens,0
Paenibacillus polymyxa,Rhodotorula sp. JG-1b,-1
Paenibacillus polymyxa,Staphylococcus aureus,-0.191
Paenibacillus polymyxa,Staphylococcus epidermidis,-0.721
Paenibacillus polymyxa,Staphylococcus haemolyticus,-0.338
Paenibacillus polymyxa,Staphylococcus saprophyticus,0
Paenibacillus polymyxa,Staphylococcus sp. LCT-H4,0
Paenibacillus polymyxa,Staphylococcus warneri,-0.483
Penicillium chrysogenum,Penicillium rubens,-0.989
Penicillium chrysogenum,Rhodotorula sp. JG-1b,-1
Penicillium chrysogenum,Penicillium flavigenum,-1
Penicillium chrysogenum,Penicillium nalgiovense,0
Penicillium chrysogenum,Staphylococcus aureus,-1
Penicillium chrysogenum,Staphylococcus epidermidis,-1
Penicillium chrysogenum,Staphylococcus haemolyticus,-1
Penicillium chrysogenum,Staphylococcus saprophyticus,-1
Penicillium chrysogenum,Staphylococcus sp. LCT-H4,-1
Penicillium chrysogenum,Staphylococcus warneri,-1
Penicillium flavigenum,Penicillium nalgiovense,-1
Penicillium flavigenum,Penicillium rubens,-1
Penicillium flavigenum,Rhodotorula sp. JG-1b,-1
Penicillium flavigenum,Staphylococcus aureus,0
Penicillium flavigenum,Staphylococcus epidermidis,0
Penicillium flavigenum,Staphylococcus haemolyticus,-1
Penicillium flavigenum,Staphylococcus saprophyticus,0
Penicillium flavigenum,Staphylococcus sp. LCT-H4,0
Penicillium flavigenum,Staphylococcus warneri,0
Penicillium nalgiovense,Penicillium rubens,-1
