Org A,Org B,Effect
Aspergillus niger,Klebsiella quasipneumoniae IF1SW-B2,-0.812
Aspergillus niger,Klebsiella quasipneumoniae IF1SW-P3,-0.812
Aspergillus niger,Klebsiella quasipneumoniae IF1SW-P4,-0.812
Aspergillus niger,Penicillium chrysogenum,0
Aspergillus niger,Penicillium rubens,0
Aspergillus niger,Rhodotorula sp. JG-1b,-1
Aspergillus niger,Rhodotorula toruloides,-1
Aspergillus niger,Klebsiella pneumoniae,-0.812
Aspergillus niger,Enterobacter cloacae,-1
Aspergillus niger,Escherichia coli,-0.812
Aspergillus niger,Pantoea agglomerans,-0.812
Aspergillus niger,Pantoea ananatis,-1
Aspergillus niger,Pantoea conspicua,-0.812
Aspergillus niger,Pantoea sp. A4,-1
Aspergillus niger,Pantoea sp. At-9b,-0.812
Aspergillus niger,Pantoea sp. IMH,-0.812
Aspergillus niger,Pantoea sp. NGS-ED-1003,-0.812
Aspergillus niger,Pantoea sp. OXWO6B1,-0.812
Aspergillus niger,Pantoea sp. PSNIH2,-0.812
Aspergillus niger,Pantoea vagans,-0.812
Aspergillus niger,Salmonella enterica,-0.812
Enterobacter asburiae,Enterobacter cancerogenus,-0.309
Enterobacter asburiae,Enterobacter cloacae,-0.512
Enterobacter asburiae,Enterobacter hormaechei,-0.214
Enterobacter asburiae,Enterobacter roggenkampii,-0.459
Enterobacter asburiae,Enterobacter sp. NFIX59,-0.526
Enterobacter asburiae,Escherichia coli,-0.213
Enterobacter asburiae,Klebsiella oxytoca,-0.396
Enterobacter asburiae,Klebsiella pneumoniae,-0.636
Enterobacter asburiae,Klebsiella quasipneumoniae IF2SW-B3,-0.659
Enterobacter asburiae,Klebsiella quasipneumoniae IF2SW-P1,-0.659
Enterobacter asburiae,Pantoea ananatis,-0.463
Enterobacter asburiae,Penicillium rubens,0
Enterobacter asburiae,Rhodotorula sp. JG-1b,-1
Enterobacter asburiae,Salmonella enterica,-0.784
Enterobacter asburiae,Shigella sonnei,0
Enterobacter cancerogenus,Enterobacter asburiae,-0.691
Enterobacter cancerogenus,Enterobacter cloacae,-0.419
Enterobacter cancerogenus,Enterobacter hormaechei,-0.669
Enterobacter cancerogenus,Enterobacter roggenkampii,-0.608
Enterobacter cancerogenus,Enterobacter sp. NFIX59,-0.895
Enterobacter cancerogenus,Escherichia coli,-0.263
Enterobacter cancerogenus,Klebsiella oxytoca,-0.537
Enterobacter cancerogenus,Klebsiella pneumoniae,-0.583
Enterobacter cancerogenus,Klebsiella quasipneumoniae IF2SW-B3,-0.592
Enterobacter cancerogenus,Klebsiella quasipneumoniae IF2SW-P1,-0.592
Enterobacter cancerogenus,Pantoea ananatis,-0.876
Enterobacter cancerogenus,Penicillium rubens,0
Enterobacter cancerogenus,Rhodotorula sp. JG-1b,-1
Enterobacter cancerogenus,Salmonella enterica,-0.721
Enterobacter cancerogenus,Shigella sonnei,-0.217
Enterobacter cloacae,Aspergillus niger,0
Enterobacter cloacae,Enterobacter asburiae,-0.329
Enterobacter cloacae,Enterobacter cancerogenus,-0.392
Enterobacter cloacae,Enterobacter hormaechei,-0.561
Enterobacter cloacae,Enterobacter roggenkampii,-0.623
Enterobacter cloacae,Enterobacter sp. NFIX59,-0.24
Enterobacter cloacae,Escherichia coli,-0.305
Enterobacter cloacae,Klebsiella oxytoca,-0.421
Enterobacter cloacae,Klebsiella pneumoniae,-0.168
Enterobacter cloacae,Klebsiella quasipneumoniae IF2SW-B3,-0.513
Enterobacter cloacae,Klebsiella quasipneumoniae IF2SW-P1,-0.448
Enterobacter cloacae,Pantoea ananatis,-0.742
Enterobacter cloacae,Penicillium rubens,0
Enterobacter cloacae,Rhodotorula sp. JG-1b,-1
Enterobacter cloacae,Salmonella enterica,-0.543
Enterobacter cloacae,Shigella sonnei,-0.341
Enterobacter cloacae,Pantoea agglomerans,-0.674
Enterobacter cloacae,Pantoea conspicua,-0.674
Enterobacter cloacae,Pantoea sp. A4,-0.625
Enterobacter cloacae,Pantoea sp. At-9b,-0.665
Enterobacter cloacae,Pantoea sp. IMH,-0.674
Enterobacter cloacae,Pantoea sp. NGS-ED-1003,-0.565
Enterobacter cloacae,Pantoea sp. OXWO6B1,-0.674
Enterobacter cloacae,Pantoea sp. PSNIH2,-0.674
Enterobacter cloacae,Pantoea vagans,-0.617
Enterobacter cloacae,Klebsiella aerogenes IIIF7SW-P1,-0.186
Enterobacter hormaechei,Enterobacter asburiae,-0.786
Enterobacter hormaechei,Enterobacter cancerogenus,-0.331
Enterobacter hormaechei,Enterobacter cloacae,-0.168
Enterobacter hormaechei,Enterobacter roggenkampii,-0.743
Enterobacter hormaechei,Enterobacter sp. NFIX59,-0.424
Enterobacter hormaechei,Escherichia coli,-0.523
Enterobacter hormaechei,Klebsiella oxytoca,-0.491
Enterobacter hormaechei,Klebsiella pneumoniae,-0.641
Enterobacter hormaechei,Klebsiella quasipneumoniae IF2SW-B3,-0.493
Enterobacter hormaechei,Klebsiella quasipneumoniae IF2SW-P1,-0.493
Enterobacter hormaechei,Pantoea ananatis,-0.611
Enterobacter hormaechei,Penicillium rubens,0
Enterobacter hormaechei,Rhodotorula sp. JG-1b,-1
Enterobacter hormaechei,Salmonella enterica,-0.722
Enterobacter hormaechei,Shigella sonnei,-0.52
Enterobacter hormaechei,Pantoea dispersa,-0.699
Enterobacter hormaechei,Rahnella aquatilis,-0.828
Enterobacter roggenkampii,Enterobacter asburiae,-0.541
Enterobacter roggenkampii,Enterobacter cancerogenus,-0.392
Enterobacter roggenkampii,Enterobacter cloacae,0
Enterobacter roggenkampii,Enterobacter hormaechei,-0.257
Enterobacter roggenkampii,Enterobacter sp. NFIX59,-0.63
Enterobacter roggenkampii,Escherichia coli,-0.142
Enterobacter roggenkampii,Klebsiella oxytoca,-0.923
Enterobacter roggenkampii,Klebsiella pneumoniae,-0.611
Enterobacter roggenkampii,Klebsiella quasipneumoniae IF2SW-B3,-0.796
Enterobacter roggenkampii,Klebsiella quasipneumoniae IF2SW-P1,-0.796
Enterobacter roggenkampii,Pantoea ananatis,-0.41
Enterobacter roggenkampii,Penicillium rubens,0
Enterobacter roggenkampii,Rhodotorula sp. JG-1b,-1
Enterobacter roggenkampii,Salmonella enterica,-0.559
Enterobacter roggenkampii,Shigella sonnei,-0.117
Enterobacter sp. NFIX59,Enterobacter asburiae,-0.474
Enterobacter sp. NFIX59,Enterobacter cancerogenus,-0.105
Enterobacter sp. NFIX59,Enterobacter cloacae,-0.643
Enterobacter sp. NFIX59,Enterobacter hormaechei,-0.576
Enterobacter sp. NFIX59,Enterobacter roggenkampii,-0.37
Enterobacter sp. NFIX59,Escherichia coli,-0.254
Enterobacter sp. NFIX59,Klebsiella oxytoca,-0.36
Enterobacter sp. NFIX59,Klebsiella pneumoniae,-0.646
Enterobacter sp. NFIX59,Klebsiella quasipneumoniae IF2SW-B3,-0.689
Enterobacter sp. NFIX59,Klebsiella quasipneumoniae IF2SW-P1,-0.689
Enterobacter sp. NFIX59,Pantoea ananatis,-0.513
Enterobacter sp. NFIX59,Penicillium rubens,0
Enterobacter sp. NFIX59,Rhodotorula sp. JG-1b,-1
Enterobacter sp. NFIX59,Salmonella enterica,-0.727
Enterobacter sp. NFIX59,Shigella sonnei,-0.258
Enterococcus avium,Enterococcus faecalis,-0.95
Enterococcus avium,Klebsiella pneumoniae F3-2P(2),0
Enterococcus avium,Paenibacillus polymyxa,0
Enterococcus avium,Penicillium chrysogenum,0
Enterococcus avium,Penicillium flavigenum,0
Enterococcus avium,Penicillium nalgiovense,0
Enterococcus avium,Penicillium rubens,0
Enterococcus avium,Rhodotorula sp. JG-1b,-0.951
Enterococcus avium,Staphylococcus aureus,0
Enterococcus avium,Staphylococcus epidermidis,0
Enterococcus avium,Staphylococcus haemolyticus,-1
Enterococcus avium,Staphylococcus saprophyticus,0
Enterococcus avium,Staphylococcus sp. LCT-H4,0
Enterococcus avium,Staphylococcus warneri,0
Enterococcus faecalis,Enterococcus avium,1.729
Enterococcus faecalis,Klebsiella pneumoniae F3-2P(2),0.422
Enterococcus faecalis,Paenibacillus polymyxa,-0.166
Enterococcus faecalis,Penicillium chrysogenum,0
Enterococcus faecalis,Penicillium flavigenum,0
Enterococcus faecalis,Penicillium nalgiovense,0
Enterococcus faecalis,Penicillium rubens,0
Enterococcus faecalis,Rhodotorula sp. JG-1b,-0.702
Enterococcus faecalis,Staphylococcus aureus,1.778
Enterococcus faecalis,Staphylococcus epidermidis,1.778
Enterococcus faecalis,Staphylococcus haemolyticus,1.778
Enterococcus faecalis,Staphylococcus saprophyticus,0.61
