Org A,Org B,Effect
Escherichia coli,Klebsiella pneumoniae,-0.832
Klebsiella pneumoniae,Escherichia coli,-0.168
Escherichia coli,Paenibacillus polymyxa IIF5SW-B3,0
Paenibacillus polymyxa IIF5SW-B3,Escherichia coli,-0.646
Escherichia coli,Pantoea agglomerans FJII-L5-SW-P2,-0.852
Pantoea agglomerans FJII-L5-SW-P2,Escherichia coli,-0.148
Escherichia coli,Pantoea ananatis,-0.804
Pantoea ananatis,Escherichia coli,-0.132
Escherichia coli,Pantoea conspicua,-0.882
Pantoea conspicua,Escherichia coli,-0.118
Escherichia coli,Pantoea sp. 3.5.1,-0.782
Pantoea sp. 3.5.1,Escherichia coli,-0.218
Escherichia coli,Pantoea vagans,-0.75
Pantoea vagans,Escherichia coli,-0.25
Klebsiella pneumoniae,Paenibacillus polymyxa IIF5SW-B3,0
Paenibacillus polymyxa IIF5SW-B3,Klebsiella pneumoniae,-0.646
Klebsiella pneumoniae,Pantoea agglomerans FJII-L5-SW-P2,-0.683
Pantoea agglomerans FJII-L5-SW-P2,Klebsiella pneumoniae,-0.317
Klebsiella pneumoniae,Pantoea ananatis,-0.738
Pantoea ananatis,Klebsiella pneumoniae,-0.176
Klebsiella pneumoniae,Pantoea conspicua,-0.847
Pantoea conspicua,Klebsiella pneumoniae,-0.153
Klebsiella pneumoniae,Pantoea sp. 3.5.1,-0.719
Pantoea sp. 3.5.1,Klebsiella pneumoniae,-0.281
Klebsiella pneumoniae,Pantoea vagans,-0.694
Pantoea vagans,Klebsiella pneumoniae,-0.306
Paenibacillus polymyxa IIF5SW-B3,Pantoea agglomerans FJII-L5-SW-P2,-0.646
Pantoea agglomerans FJII-L5-SW-P2,Paenibacillus polymyxa IIF5SW-B3,0
Paenibacillus polymyxa IIF5SW-B3,Pantoea ananatis,-1
Pantoea ananatis,Paenibacillus polymyxa IIF5SW-B3,0
Paenibacillus polymyxa IIF5SW-B3,Pantoea conspicua,-0.646
Pantoea conspicua,Paenibacillus polymyxa IIF5SW-B3,0
Paenibacillus polymyxa IIF5SW-B3,Pantoea sp. 3.5.1,-0.646
Pantoea sp. 3.5.1,Paenibacillus polymyxa IIF5SW-B3,0
Paenibacillus polymyxa IIF5SW-B3,Pantoea vagans,-0.646
Pantoea vagans,Paenibacillus polymyxa IIF5SW-B3,0
Pantoea agglomerans FJII-L5-SW-P2,Pantoea ananatis,-0.171
Pantoea ananatis,Pantoea agglomerans FJII-L5-SW-P2,-0.559
Pantoea agglomerans FJII-L5-SW-P2,Pantoea conspicua,-0.693
Pantoea conspicua,Pantoea agglomerans FJII-L5-SW-P2,-0.307
Pantoea agglomerans FJII-L5-SW-P2,Pantoea sp. 3.5.1,-0.584
Pantoea sp. 3.5.1,Pantoea agglomerans FJII-L5-SW-P2,-0.416
Pantoea agglomerans FJII-L5-SW-P2,Pantoea vagans,-0.51
Pantoea vagans,Pantoea agglomerans FJII-L5-SW-P2,-0.49
Pantoea ananatis,Pantoea conspicua,-0.526
Pantoea conspicua,Pantoea ananatis,-0.22
Pantoea ananatis,Pantoea sp. 3.5.1,-0.596
Pantoea sp. 3.5.1,Pantoea ananatis,-0.115
Pantoea ananatis,Pantoea vagans,-0.173
Pantoea vagans,Pantoea ananatis,-0.743
Pantoea conspicua,Pantoea sp. 3.5.1,-0.158
Pantoea sp. 3.5.1,Pantoea conspicua,-0.842
Pantoea conspicua,Pantoea vagans,-0.296
Pantoea vagans,Pantoea conspicua,-0.704
Pantoea sp. 3.5.1,Pantoea vagans,-0.53
Pantoea vagans,Pantoea sp. 3.5.1,-0.47
